reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOH73aaoZlSlursdO9exmmYQtts9MeK13DAWOPWEqCAUVxtXxClmjo3VHWWvIQ3yFJr4frVvI_w1QvVymKo,Himani Sakshi Vittali,https://play-lh.googleusercontent.com/a/AATXAJwMOEfiJ1ZUF3gltjYdAqiXiOgcUZw0x07nDjau=mo,This app is a great platform for high school students to find cool opportunities. There are students and educators from all over the world . Best platform for profile building and out of the classroom opportunities.,5,3,1.53,2022-01-10 06:17:23,,
gp:AOqpTOEwhOt3SP3kxF_VZAaV37pjd9gCorDo-U2FZXvbrb-VCAnSBkZ9lwTpXtXhDpA3pjFsgIh3H8fj_GoHMtU,Melanie Ho,https://play-lh.googleusercontent.com/a-/AOh14GhivxU9WPrUo2_yr8_wM57GN0EcEsnbNT320kHwdw,Very on the ball with new oppurtunities for students. Helpful people to talk to across all kinds of subject interests,5,1,1.53,2022-01-06 00:15:51,,
gp:AOqpTOFxipUq8WELigSgwQREuzXm8fwW4lBc7IPZj_WyvWP3tc1oJdMUZcgDlUuaP1Y4EhdDGrNKBlrXV6OsOPY,Ali M,https://play-lh.googleusercontent.com/a-/AOh14Gg-wHZ3pWBwpcXvUUXW5iMQPIzVArUujeVLW9e4sg,Awesome app for finding extracurriculars! So many different opportunities!,5,1,1.50,2021-07-24 02:57:57,,
gp:AOqpTOHodTZItILk_H-py05IhPYb0se8qmolTnuyf-RakjUYaU47hFRsY34WhuCx_ksinikXqo-EbT75BgY-EsQ,Sadek Mohammed,https://play-lh.googleusercontent.com/a-/AOh14GiW9o90qkiU6o79cGBFd8ia4AfTBaucD0Q3EBEJIw,"It is great for any highschool student to use with great programs and activities. However, the app needs more technical work.",5,1,1.49,2021-07-05 15:12:50,,
gp:AOqpTOGpCsLiud8Q7PbSwXSd0bLVNYQWjRWnZ5U2Nsb5CzM4bTcIkt04ONUSa6qH-9tZQd8_A5WHpZt0e-NMBZk,Araash,https://play-lh.googleusercontent.com/a-/AOh14GgQPSxye9JbhbRnd4a28vhaCrT7NMG7CmyGnz_Ulys,The app is very simple to use. It allows students and mentors to connect with each other and discover new opportunities without having to pay a premium. This is definitely a must-have for students and teachers alike.,5,3,1.49,2021-06-20 05:19:54,,
gp:AOqpTOGKvZJtsaiq5dTOKi2y5wEyOjvlXBwZ46bRyUAXHqY2VRNwJGrAg5MuhVQFlT5VmU9N1ZmCz5The6-PXng,Divit Setia,https://play-lh.googleusercontent.com/a-/AOh14GgUPOiGRxd9IM8hJIo9Rmzkh4kQDbr2pjCo97C8rA,"The app had several features I think which are good and some which need to be addressed. 1) Stories: This is a very good feature, but no one posts them, last one which I remember was 4 months ago. Maye because it’s on the mobile app and most of the people use the desktop version, so I would recommend adding this feature to the website. 2) The Ambassador Logo: The Ambassador Logo which was promised in the RoundPier Ambassadors Program came very late, so I would recommend doing it a little quickly if possible :). Also, I can’t see it on my profile, but can see it in the comments when I post something on the mobile apps. Lastly, this feature is not visible on the website too. 3) ECs, Job Experience, Volunteering Hours: I don’t know if it’s only me or everyone, but I can’t add any of my ECs, Volunteering Hours, etc. On the website, so please fix it. This is possible through the app, but even that has limitations. If the address of the organization is too large (as shown by Google Maps), the ‘+’ button with the cyan backdrop almost goes out of my mobile device’s screen, due to which I can’t add it. So, please fix this issue too. 4) Tutor: I haven’t used this feature but I think this is a great tool, and I think it should be ported to the website too, since most of the people use the website, I think that’s gonna help people a lot. 5) App Interface: The app interface is good, but I think you should try to change the colors of the app, ad dull grey does not seem to appeal the visual demand of the viewer (again a personal experience :) ) Overall, it is a very great app (●'◡'●)",5,3,1.49,2021-06-19 09:36:05,,
gp:AOqpTOH7kp7jJwR7oIv73LVcn1cbhuSRdf_B7KLdUa-y6W8yWS_kIeQhxXJG6C5E809TxS7djpYr22pqAN94dkM,Mansi More,https://play-lh.googleusercontent.com/a-/AOh14GhngL_-7GPuthHhJpJ95j8yKg3jCjQbyNw8uR88,"Roundpier, is an amazing platform for high school students, also it is handy and easy to use and interact with other like minded students around the globe, also it gives lot of volunteering, camps, seminar and organisations information.",5,1,,2021-06-19 04:29:12,,
gp:AOqpTOFE1vuPbtBqDBUWVwCiHVaUp6kdqT1prA52zuDIyb3ShtOy43kocuOyA1Rnu4NX1oJPg6eiYV2OzxPYyds,Philipson Hub,https://play-lh.googleusercontent.com/a-/AOh14GjFSlKLUAMU5Zw2dqEg5Pi00sprQsoaO3PwCeAbbw,"Roundpier is an awesome platform, just like any other social media app, It is easily navigable, has a great user interface, and I love how the icons next to posts are innovative (example: the bulb) when compared to existing platforms. The app is extremely useful for discovering opportunities.",5,2,1.49,2021-06-17 20:37:54,,
gp:AOqpTOG1D34gynimQWygd7ZSZ3EQ9haJ4p9CyNGF2iIrIDoKLo_a85aQ1XKnIbMGIuEJqiQZmU5Bd4U1BiFdMUU,Bree Jones,https://play-lh.googleusercontent.com/a-/AOh14GgxTWqluwCm2VuBVoLLMs0y37ji3ZXEGP3LSc9-_Q,I can't edit my ec's like remove them. Also this app becomes extremely boring after a while. It's basically a bunch of student Nonprofits trying to sell themselves. I kinda wishing was more focused on college it could be a great resource for connection otherwise...,3,0,1.49,2021-06-13 01:47:08,,
gp:AOqpTOFjBKe3mLHDXZbSRDfEzaCo-R2o_NdAqdj3E5Q4fUo10np8bdn8RIo-AeJEvkENB3-sYV7N7pXIoMu2yfM,Pranshu Saxena,https://play-lh.googleusercontent.com/a-/AOh14GhK4QuGi9UrzaQmv6vOwdyqSEFicVOnpcbRAyv39A,I was searching for an app just like this and then I found this. It's a great app and can help High school or college students in many ways. I would just suggest to make the U.I a lil better.,5,5,1.4.3.3,2020-10-30 01:23:44,,
