isEdited,rating,userName,date,review,title,developerResponse
False,5,Dr. Alec Harvey,2019-04-26 13:00:39,"I did quite a bit of research into money transfer apps and platforms and TransferWise seemed to meet all my needs. I opened a Borderless account and have now used it to make several transactions—moving funds between various onshore accounts and converting between currencies.  Unless I’m missing something, the platform, the process and the app all work flawlessly.

With just a few clicks my money is moved into my Borderless account in one country, converted from one currency to another, and moved into an external account in a different country.  The fees are low and I get the forex spot rate not some 5 or 6 pt spread between buying and selling that pays criminally high broker fees; I’ve saved literally hundreds of USD on one transaction alone.

With some platforms you pay more to get an easy process; with others the cost is low but you have to jump through a lot of hoops. TransferWise is that rare situation where the process is easy AND the cost structure is low. I love it, easiest 5-stars I’ve given in a long while.",Exceptionally effective way to manage funds internationally,
False,4,Lanni88,2019-10-15 11:08:11,"I’ve availed TransferWise service for several years now and had great results. Although recently I had an unusually untimely transfer (4 days). In addition I was a bit confused by the overly long estimated time conveyed by TransferWise on a subsequent transfer (6 days) but after submitting the transfer and to my surprise I received the funds in less than two hours, which is about the speed in which I normally receive the funds. I want to clarify my previously poor feedback toward TransferWise. The service I have received is for the most part Great! My only complaint is the recent estimate for the completed transfer. I understand your companies position that it would be better to over estimate the transfer timeframe and deliver the funds earlier than proposed, and I’m trying to wrap my head around that logic because that works great for most people I’m sure. But... in my situation an estimate of 6 days for a Debit/ACH transfer leaves me wanting to initiate my transfer 5 days early, but If the transfer completes in only a few hours it then creates another issue with my billing cycle at my bank and fees. Overall I rate your service as highly recommended. I will just have to cross my fingers and hope the funds arrive as they have in the past. 
Thank you,

Lon",Efficiency of TransferWise,
False,1,Badbluesman,2021-01-16 19:05:29,"I spent hours over the weekend trying to add a new recipient. However the app would never accept the person’s street address. After trying 8 or 9 versions of the address, I finally closed the app and reopened and started all over (a very time consuming process). I finally was about to set up my new recipient. The next roadblock came when I tried to send money to that recipient. I already had a bank account linked to another recipient, but apparently you have to set up your own bank all over again with each new recipient. I did this. The transfer appeared to be underway, but was flagged. An email said that it “needed attention.” When I tried to go to that transfer, I got stuck in an endless merry-go-round in which it would say you must go to TransferWise online to solve the problem. When I did, it just sent me back where I started. After repeating this 5 or 6 times, I tried closing the app and reopening it to no avail: the merry-go-round continued. And of course THERE IS NO PHONE SUPPORT ON WEEKENDS, so you are completely out of luck. I still don’t know the status of my last attempted transfer. I don’t even know if the money was debited from my account or not! In the future I will be taking my money transfer business elsewhere. I would NOT recommend TransferWise to anyone. There are plenty of other services to choose from.","Good service, horrible app!","{'id': 20505318, 'body': ""Hi there. Sorry to hear you didn't have the best experience while using us. It's never our intention to keep you going in circles, and we always do our best to fix any issues that you might face along the way. While we're not available on phones over the weekend, you can also reach us by email or on our social media platforms, and we'll get back to you as fast as we can. We'd like to take a closer look to understand better what happened and update you on your transfer. If you haven't yet, please reach us out from here: https://wi.se/contactus_. Thank you, Jackie at TransferWise. "", 'modified': '2021-01-19T14:02:31Z'}"
False,4,Tomaszy,2019-01-18 07:58:28,"I have very few complaints with TransferWise and this app. It generally works as advertised and I have used it for a number of months now with few problems. One glitch is TransferWise’s interface with banks (U.S., at least), which sometimes does not recognize your account has been verified and asks to reverify it by confirming a couple of micro-deposits - a process which can take several days. However, if you cancel the transfer which prompted the request to reverify, then try it again, this has always resulted in a successful transfer on the second attempt for me. Both the app and desktop version of TransferWise also have trouble sometimes dealing with verification questions used by many banks. One additional feature which would be useful for the app (essential, in my opinion, for a 5-star rating) is the ability to download a pdf receipt for a transfer, showing all relevant account information and date/time of the transfer events, as you can from the desktop web site. Despite the above issues, I’m satisfied with my experience and TransferWise is an excellent alternative to international bank wires, especially for smaller amounts.","App works well, needs a couple features",
False,3,fijiwateryum,2022-01-18 19:25:34,"I’ve used this app many times over the few years to internationally send money to family- it has always been great until recently. The “mandatory form” required to sign yearly and to every new recipient is from a 3rd party “Exchange4Free,” which takes forever to actually email the form and this results in complications with the transfer, which of late, has resulted in having to cancel transfers. I don’t think these “Wise” and “Exchange4Free” are in proper communication, which makes me think that wise (to maintain its credibility) has no idea how long the forms really take to reach recipients. When contacting wise, their customer service has always been awfully bad- no real interest in assisting clients and no real help whatsoever, leaving you with no option but to cancel transactions. I really enjoyed using this app in the past and hope that major improvements are made as I am very tempted to find a different company for my international transfers. It is supposed to be a “quick and easy” way to send money but has taken weeks, which makes one consider using your actual bank- even their steep fees would be worth the hassle.",App quality and results have declined significantly!,"{'id': 28060486, 'body': ""Hello there,\n\nWe aim to complete all transfers as fast as possible, but we're a regulated financial institution, and we need to comply with local regulations.  This is when our partner bank might require additional information from their side as well. \n\nThis is a routine procedure to help us ensure we’re keeping our platform safe for everyone using (including you) while complying with local regulations. \n\n\r\nDo keep in mind, we always make sure to update you along the way, and you’ll know the status of your transfer at all times. \n\nWise."", 'modified': '2022-02-15T11:46:16Z'}"
False,1,DaMarCas,2021-10-20 06:23:46,"I used wise for over a year, worked good for me. Until two weeks ago when I received a payment with the concept “Payment Venezuela” and they just shutted down my account and retained all my money because no transaction can be made related to Venezuela. And it’s ok that policy, I get it. But didn’t even ask me for an explanation… I am not doing business related to that country, I work as a freelancer currently living in Italy and the transfer was made from a guy in Spain that has a Instagram page about that country. So I don’t know how am I breaking the rules. But as I said, no explanation was asked. So my account was closed and didn’t even receive an email or a call… nothing. None contacted me to inform me that my balance was closed. I had to call and received the notice that was closed and that I can’t appeal to reopen the balance. At that point I just wanted my money back. But, when I tried to fulfill the file to request my money, it wouldn’t let me. So I sent my info via email two weeks ago and the costumer service lady said that the info (my bank account details) would be forwarded to the proper team and up to date nothing has happened. I’ve sent several emails and no answer has been made. I need my money back and it’s impossible…",Disappointing,"{'id': 25903177, 'body': 'We hear your concern, but rest assured your money is safe, and you’ll be updated about your refund as soon as possible. \r\n\r\nWhen an account is closed with balances, we need to carry due diligence checks first. These checks can take approximately 60 working days (you can’t count weekends or holidays), and you’ll be reached as soon as everything is done from our side. \r\nWise.', 'modified': '2021-10-26T11:43:20Z'}"
False,5,GT-Marenti,2021-03-26 13:24:11,"I’ll speak solely with what I have used Wise for.
In my case, I found this app looking for an efficient method to transfer money between my USD and EUR accounts. 
I live in Spain, but I used to live in the US. I constantly need to transfer USD to EUR for my everyday expenditures here in Spain, but I also need to transfer EUR to USD because of stuff that I still pay with my US credit cards.
Wise has been my solution for that. And how magnificent has it been.

The interface is great and easy to understand. The pairing with my Bank Accounts was fast and easy. It remembers the previous transactions that I’ve made in case I want to repeat the same amounts, I can do it with just 2 taps. And it ALWAYS gives me the best rates. I often check the current official price of USD to EUR (or viceversa), and Wise’s exchange rate is always extremely close to it. Which is great. It means you save more money.

I’ve also had to contact Customer Support once in the 6 months I’ve used Wise, and my experience was great. I really have no complaints in regards to the customer service experience. I called with a problem, and they gave me a solution on the spot in just 15 minutes. Good stuff!

I’m very much looking forward to recommend and keep using Wise for currency exchange between my accounts in the foreseeable future! 
If what you were looking for is a service that allows you to do exactly this, then look no further 👍🏼",Excellent if you have bank accounts in different currencies,
False,5,MPS71717373,2019-10-01 07:50:16,"I’ve used the app 6 times over the last 5 months the send money from the US to Thailand. 5 of the 6 times the money was sent within hours of them notifying me they had transferred the money to my account. On the 6th time there was a delay of about 24 hours which is still quite fast.
I would like to add that the notification/receipt they send is based on their bank setting up the transfer. However, that bank my still take some time to actually transfer the money. In my case the first 5 transfers happened within an hour or so of the notifications being sent. The delay on the 6th transfer had me initially concerned. I contacted my bank and the transferring bank and both said the transfer could take up to 7 days based on the banks policies. If you don’t see the money right away after you get the notification/receipt it might take a day or two for the transfer to complete.
Best regards.",Quick and easy,
True,4,AndreaD_house_hunter,2021-07-23 07:28:23,"In the last few years I had no problems at all transferring many larger amounts than this.  Two transfers from the US in earlier April went smoothly in about two days — to 2 separate accounts in Turkey. But then the 3rd transfer took forever and is still in limbo today. The app said on April 19 the money would be transferred (no time mentioned). But the Safari web page on my iPhone said 2 pm local time and then later it said 5 pm that it would be done. The link to my recipient says yet another time — early this morning!

I discovered who the culprit was. It was the Turkish bank. They didn’t like one of the words used in my note about the transaction — yet they never contacted the recipient of the money about why they were putting a freeze on the funds. As a result we had to spend another 5 days in the hotel. Trying to close on a property purchase was impossible until we went to one of their branches and explained the transaction. Then they unlocked the funds.","Slow transfer, but was ultimately resolved","{'id': 22371515, 'body': ""Hello there,\n\nSorry to hear about your experience. While we aim to complete all transfers as fast as possible, there are times we'll need to carry extra checks on it, and even though this isn't our intention, delays can happen. Rest assured that we'll always keep you updated along the way. \n\nIf you haven't yet, please reach us at https://wi.se/contactus_, and we'll take a closer look.\n\nAll the best,\nWise Team."", 'modified': '2021-07-23T07:28:23Z'}"
False,1,sanbr87,2020-03-19 18:12:25,"So I have this account for a long time. I got married and I don’t have my marriage name on my passaport a couple monthly ago they asked me to verify that. A send my drive licenses with my my actual married name on it after that a got my account working... a couple of days ago I needed send money to my family in another country and for my surprise I couldn’t get it done because they were asking for me to verify my account again. I call them and send my marriege certificate and other documents. So they send me a email telling image quality wasn’t good enough. Ok! I call them AGAIN! and send the files, the person that was in the call told me that the files was good quality and it shouldn’t be a problem anymore. Couple of hours later I got another email saying that they could not verify my account and I should send my documents AGAIN!. 
Look a don’t know what is going on! It looks you guys are holding the accounts for us not to send money right now. It’s is pretty bad! I need to send money for my family that are in need because what’s going on with this Coronavirus.
 I don’t see this company is helping us customers go though this. I’m very disappointed.",Problem to verify my account.,"{'id': 14247423, 'body': 'Hi, I am sorry to hear this. Please reach out via email and ask for the email to be forwarded to me (Roushine). I will look into this issue personally.\n-Ro', 'modified': '2020-03-25T19:10:21Z'}"
